"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"42501",3633358,8041077316,"EFD2072","2015-10-09",14,"HONDA",34190,10410,10510,"1109P","18-20","GY",10,"W 21st St",NA,"18-20 W 21st St New York, NY",40.7405351,-73.9919455
"42502",3657529,8046828063,"AM484F","2015-10-22",14,"FRUEH",17010,13460,20450,"0951A","8","GREEN",10,"E 1st St",NA,"8 E 1st St New York, NY",40.7248665,-73.991663
"42503",4779512,1399116472,"LBI729","2015-12-04",21,"CHRYS",36310,31390,15910,"0947A","370","GRAY",12,"WEST 127TH STREET",NA,"370 WEST 127TH STREET New York, NY",40.8122903,-73.9526762
"42504",447854,1384750540,"922MI","2015-06-22",21,"HONDA",14380,35830,35880,"0845A","2318","WHITE",6,"AVE P",NA,"2318 AVE P New York, NY",40.611077,-73.949996
"42505",5235389,1406009350,"75225JW","2015-12-16",46,"FRUEH",75530,77730,51030,"1249P","189","BR",12,"SCHERMERHORN ST",NA,"189 SCHERMERHORN ST New York, NY",40.6895299,-73.9864516
"42506",4319671,7150253398,"DPE1806","2015-11-19",46,"TOYOT",47520,40404,40404,"0953P","3918","BLACK",11,"Lydig Ave",NA,"3918 Lydig Ave New York, NY",40.854368,-73.8610683
"42507",1000654,8046177623,"GPG5257","2015-09-05",71,"FORD",27410,0,0,"0529P","N","GY",9,"Old Slip30ft E/of Water St",NA,"N Old Slip New York, NY",40.7032139,-74.0079765
"42508",8800456,7036291345,"6747DD","2016-04-11",14,"TOYOT",10010,19110,19130,"0806P","2080","SILVE",4,"1st Ave",NA,"2080 1st Ave New York, NY",40.7905032,-73.9388138
"42509",3106807,8035413612,"GRE7459","2015-10-09",21,"TOYOT",23230,19530,18630,"0946A","111","BL",10,"Broadway",NA,"111 Broadway New York, NY",40.708699,-74.011666
"42510",768522,8015685680,"76138JY","2015-07-02",14,"NS/OT",18690,10110,10010,"0250P","301","WHITE",7,"E 85th St",NA,"301 E 85th St New York, NY",40.7771725,-73.9519458
"42511",5386101,7488775363,"9BV9253","2015-12-19",37,"FORD",17170,32645,13610,"0513P","30","RED",12,"E 9th St",NA,"30 E 9th St New York, NY",40.7318026,-73.9939553
"42512",4885781,4614347320,"T441617C","2015-12-16",36,"LINCO",0,0,0,"0941A","","BK",12,"WB QUEENS BLVD "," 36TH ST"," WB QUEENS BLVD @ 36T New York, NY",40.7416457,-73.9519675
"42513",6541475,7079783355,"GRC2000","2016-01-28",14,"HONDA",23140,49690,17790,"0406P","87-63","TN",1,"148th St",NA,"87-63 148th St New York, NY",40.7058951,-73.8083673
"42514",3688404,1399013737,"G22FMW","2015-10-29",21,"HONDA",49430,47430,23230,"1122A","323","SILVE",10,"HEWES STREET",NA,"323 HEWES STREET New York, NY",40.7064873,-73.9534389
"42515",2266774,8047406322,"EMZ1878","2015-08-11",21,"MAZDA",37410,0,0,"1232P","S","GY",8,"W 183rd St15ft E/of Pinehurst",NA,"S W 183rd St New York, NY",40.8510335,-73.9341173
"42516",1743174,4609052222,"GEJ1254","2015-08-07",36,"DODGE",0,0,0,"0445P","","WH",8,"WB GOETHALS RD N "," JULES DR"," WB GOETHALS RD N @ J New York, NY",40.7127837,-74.0059413
"42517",10512230,8188055050,"FFP6528","2016-05-31",21,"CHRYS",16330,15780,30630,"1155A","191","TN",5,"Bay 17th St",NA,"191 Bay 17th St New York, NY",40.603578,-74.007339
