"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"40031",1073484,1386236305,"591723N","2015-08-25",46,"BMW",67530,14830,14880,"1240P","2951","WH",8,"OCEAN AVE",NA,"2951 OCEAN AVE New York, NY",40.5893076,-73.9491798
"40032",8482107,7773478570,"GSA1755","2016-04-20",71,"ME/BE",0,0,0,"0157P","E","BL",4,"Washington Ave100ft S/of E 182nd S",NA,"E Washington Ave New York, NY",41.0607823,-74.0170657
"40033",5115192,8045282009,"HBB4571","2015-12-27",46,"ACURA",24240,18040,51090,"0442P","89-55","BK",12,"164th St",NA,"89-55 164th St New York, NY",40.7060632,-73.7960307
"40034",10520011,8164535333,"T643106C","2016-06-06",37,"TOYOT",13430,20530,64330,"1040A","443","BK",6,"Atlantic Ave",NA,"443 Atlantic Ave New York, NY",40.6866834,-73.9835646
"40035",2025525,8040673859,"JMZ3473","2015-08-04",21,"SUBAR",18750,10110,10010,"1134A","300","GREY",8,"E 88th St",NA,"300 E 88th St New York, NY",40.7789712,-73.9506112
"40036",8860667,7466790392,"5ADFR3","2016-04-20",14,"ME/BE",18040,0,0,"0922A","S","GREY",4,"89th Ave90ft W/of 135th St",NA,"S 89th Ave New York, NY",40.710539,-73.7871156
"40037",7651372,1407152658,"43247JY","2016-02-04",19,"FORD",23230,95030,19530,"1107A","60","WT",2,"BROADWAY",NA,"60 BROADWAY New York, NY",40.7068076,-74.0124647
"40038",5479937,7777856297,"77477JZ","2015-12-07",70,"FORD",36270,10410,24690,"1016A","55","WH",12,"W 125th St",NA,"55 W 125th St New York, NY",40.8074933,-73.9441504
"40039",9881089,8029598415,"DWA8015","2016-05-07",38,"LEXUS",10610,34130,34150,"0534P","140","BK",5,"7th Ave",NA,"140 7th Ave New York, NY",40.7414823,-73.9979483
"40040",4534895,7822156366,"52965MD","2015-11-13",48,"FRUEH",33390,23090,21240,"0357P","803","BROWN",11,"Washington St",NA,"803 Washington St New York, NY",40.7389737,-74.0078394
"40041",7563553,8104520350,"HCM8116","2016-03-23",31,"ME/BE",34170,10410,10510,"0435P","48","GY",3,"W 20th St",NA,"48 W 20th St New York, NY",40.7405576,-73.9935684
"40042",6679624,7994332730,"HCT1301","2016-02-03",16,"SUBAR",10010,0,0,"0719A","E","BROWN",2,"1st Ave10ft N/of E 102nd St",NA,"E 1st Ave New York, NY",40.72336,-73.9886083
"40043",6742527,8048897647,"GWH8430","2016-02-05",14,"FORD",36310,15910,36290,"0107P","443","TAN",2,"W 127th St",NA,"443 W 127th St New York, NY",40.8134599,-73.9549146
"40044",7688420,4616715920,"SVR33Z","2016-03-01",36,"HYUND",10210,40404,40404,"1007A","","SL",3,"NB 3RD AVE "," 53RD ST"," NB 3RD AVE @ 53RD ST New York, NY",40.7641748,-73.9847444
"40045",2683732,8035217021,"10799BB","2015-08-28",77,"FORD",7080,9630,9680,"0038A","6103","WH",8,"20th Ave",NA,"6103 20th Ave New York, NY",40.618483,-73.983401
"40046",1333754,7657407931,"15522JU","2015-09-09",38,"GMC",15710,35230,35250,"1034A","282","WHITE",9,"Columbus Ave",NA,"282 Columbus Ave New York, NY",40.7784169,-73.978352
"40047",6190397,7394261529,"FHG6525","2016-01-12",83,"FORD",0,0,0,"0902A","S","BL",1,"W 232nd St100ft W/of Albany Cr",NA,"S W 232nd St New York, NY",40.8836763,-73.9109664
"40048",7725271,4617427570,"FHW7983","2016-03-16",36,"ACURA",0,0,0,"1010A","","BK",3,"NB RIVERDALE AVE "," W254TH ST"," NB RIVERDALE AVE @ W New York, NY",40.906413,-73.9042204
"40049",5671284,4005431010,"T648433C","2016-01-14",5,"TOYOT",0,0,0,"0946A","","BK",1,"EB 207TH ST "," POST AVE"," EB 207TH ST @ POST A New York, NY",40.7127837,-74.0059413
"40050",1275838,7443587960,"ECP3165","2015-09-03",21,"CHEVR",23740,50290,13540,"1050A","61-21","BK",9,"156th St",NA,"61-21 156th St New York, NY",40.737954,-73.8120409
"40051",117299,7009191025,"JNE9219","2015-07-20",21,"HYUND",8690,8390,8540,"0739A","33-10","SILVE",7,"36th Ave",NA,"33-10 36th Ave New York, NY",40.7555027,-73.927918
"40052",3876859,7441884238,"GME5853","2015-11-10",20,"BMW",24740,18290,51090,"0706A","91-19","SILVE",11,"172nd St",NA,"91-19 172nd St New York, NY",40.7080621,-73.7879408
"40053",9168334,1403779028,"JXS6018","2016-04-14",46,"JEEP",72320,27060,27090,"1144A","2103","BK",4,"VYSE AVE",NA,"2103 VYSE AVE New York, NY",40.8441985,-73.8804869
"40054",3713948,4005171916,"GZC4438","2015-11-02",5,"DODGE",0,0,0,"0851A","","GY",11,"NB ROGERS AVE "," LINDEN BLVD"," NB ROGERS AVE @ LIND New York, NY",40.7127837,-74.0059413
"40055",6710443,8020689503,"GML1833","2016-02-02",21,"KIA",89930,33360,58200,"1142A","91","WH",2,"Water St",NA,"91 Water St New York, NY",40.7045932,-74.0082031
"40056",1566839,7577818768,"FRR4801","2015-08-13",38,"CHRYS",10440,9190,9490,"0943A","39-31","BK",8,"47th Ave",NA,"39-31 47th Ave New York, NY",40.742118,-73.925307
"40057",5981802,8049773164,"XN1251","2016-01-04",38,"NS/OT",10210,19050,19070,"0201P","1888","WHITE",1,"3rd Ave",NA,"1888 3rd Ave New York, NY",40.790639,-73.9457557
"40058",1092799,1387443770,"AWP9514","2015-08-20",14,"BMW",35690,44990,10380,"1005A","337","GREY",8,"W 96 ST",NA,"337 W 96 ST New York, NY",40.7957992,-73.9744382
"40059",8371117,5091125838,"JDP2102","2016-04-08",7,"HONDA",0,0,0,"0333P","","",4,"FLATBUSH AVE (N/B) ","EASTERN PKWY"," FLATBUSH AVE (N/B) @ New York, NY",40.6185782,-73.9324701
"40060",7141569,8047288854,"27978MH","2016-02-18",46,"CHEVR",34630,11010,11720,"0353P","500","WH",2,"W 43rd St",NA,"500 W 43rd St New York, NY",40.760252,-73.9953977
"40061",2317796,4609423650,"GUE7179","2015-09-16",36,"SUBAR",0,0,0,"1158A","","GR",9,"WB JAMAICA AV 179 PL- 171 ST",NA," WB JAMAICA AV 179 PL New York, NY",40.7095465,-73.7820619
"40062",10227660,7024643092,"EHN6521","2016-06-24",21,"INFIN",48020,72620,10620,"1136A","777","WH",6,"Mace Ave",NA,"777 Mace Ave New York, NY",40.8634415,-73.8642378
"40063",4033460,8034543676,"GZT4235","2015-10-29",21,"CADIL",27810,36420,65720,"1137A","161","WH",10,"E 206th St",NA,"161 E 206th St New York, NY",40.876156,-73.885095
"40064",7654643,1407313113,"EDJ4778","2016-02-23",21,"TOYOT",64730,17380,10030,"0709A","6904","SILVR",2,"NEW UTRECHT AVE",NA,"6904 NEW UTRECHT AVE New York, NY",40.620502,-73.998932
"40065",1704217,1384754386,"G41375","2015-08-06",21,"FORD",5430,11330,5580,"0746A","9508","WHITE",8,"4TH AVE",NA,"9508 4TH AVE New York, NY",40.61586,-74.031494
"40066",5902338,7922284974,"GNS5703","2015-12-30",14,"FORD",9840,7040,7190,"1146A","23-10","WHITE",12,"43rd Ave",NA,"23-10 43rd Ave New York, NY",40.7491739,-73.943565
"40067",4383131,7493368302,"14917KA","2015-11-03",38,"CHEVR",11710,35910,35930,"0940A","960","WH",11,"Amsterdam Ave",NA,"960 Amsterdam Ave New York, NY",40.8013796,-73.9654289
"40068",6169883,7128761640,"FWF7874","2015-12-29",38,"JEEP",53790,20390,20490,"0211P","110-16","GREY",12,"Liberty Ave",NA,"110-16 Liberty Ave New York, NY",40.684331,-73.83145
"40069",5837629,7496218182,"GTC3301","2016-01-19",21,"NISSA",62590,10940,11040,"1109A","51-18","OTHER",1,"Skillman Ave",NA,"51-18 Skillman Ave New York, NY",40.7456869,-73.9126859
"40070",7147515,8044439286,"12924JB","2016-01-29",40,"FRUEH",15990,35780,8890,"1208P","37-39","BROWN",1,"76th St",NA,"37-39 76th St New York, NY",40.748019,-73.889481
"40071",4917029,5089553403,"GUH1147","2015-11-26",7,"NISSA",0,0,0,"0221P","","BK",11,"WB N CONDUIT AVE "," VAN WYCK EXPWY SB / E"," WB N CONDUIT AVE @ V New York, NY",40.7127837,-74.0059413
"40072",378538,8045506398,"GBZ2731","2015-07-22",14,"BMW",21940,0,0,"0159P","W","GY",7,"131st St20ft S/of Rockaway B",NA,"W 131st St New York, NY",40.8142863,-73.9492911
"40073",578598,7120305657,"EWZ5846","2015-07-01",46,"MITSU",27300,36420,70720,"0449P","213","GY",7,"E 188th St",NA,"213 E 188th St New York, NY",40.8614148,-73.8968333
"40074",6786574,8222507667,"GCG3155","2016-02-22",21,"FORD",18840,8790,61090,"0840A","37-43","WH",2,"95th St",NA,"37-43 95th St New York, NY",40.749905,-73.871701
"40075",229034,7684969055,"XX393A","2015-07-01",47,"GMC",10610,34130,34150,"0955A","140","WHITE",7,"7th Ave",NA,"140 7th Ave New York, NY",40.7414823,-73.9979483
"40076",286507,7975985284,"HWK1745","2015-07-21",20,"TOYOT",9140,39595,59590,"1025A","133-30","GREY",7,"39th Ave",NA,"133-30 39th Ave New York, NY",40.7484256,-73.910675
"40077",10389666,7911348492,"60998MC","2016-06-23",69,"CHEVR",17690,24890,10210,"1057A","160","WHITE",6,"E 35th St",NA,"160 E 35th St New York, NY",40.7464854,-73.9782019
"40078",4742986,8048625234,"83SF92","2015-10-24",21,"BMW",10010,17350,17370,"0816A","315","BLACK",10,"1st Ave",NA,"315 1st Ave New York, NY",40.7340987,-73.9808809
