"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"52501",9442015,8023894481,"J97EMV","2016-05-21",21,"CADIL",6380,10380,10430,"0817A","7606","RED",5,"13th Ave",NA,"7606 13th Ave New York, NY",40.619667,-74.0084849
"52502",7334038,5090819580,"GGP1599","2016-03-14",7,"INFIN",0,0,0,"0424P","","WH",3,"222ND ST (W/B) "," PAULDING AVE"," 222ND ST (W/B) @ PAU New York, NY",40.7127837,-74.0059413
"52503",6014081,8257004376,"T617886C","2016-01-13",38,"TOYOT",51090,18890,18890,"0525P","95-25","BK",1,"Jamaica Ave",NA,"95-25 Jamaica Ave New York, NY",40.694648,-73.8495556
"52504",8280522,1409942570,"XAUE13","2016-03-31",19,"MERCU",11710,35270,35290,"1131A","321","WH",3,"AMSTERDAM AVE",NA,"321 AMSTERDAM AVE New York, NY",40.7806195,-73.9798589
"52505",7105158,8028672723,"24490MH","2016-01-29",14,"INTER",17790,10410,25390,"0937A","15","RED",1,"E 40th St",NA,"15 E 40th St New York, NY",40.7519125,-73.9805889
"52506",3300330,4611658557,"FEZ3428","2015-10-21",36,"TOYOT",0,0,0,"0308P","","RD",10,"EB ROCKAWAY BLVD "," 100TH ST"," EB ROCKAWAY BLVD @ 1 New York, NY",40.685818,-73.8640269
"52507",8749569,4618849710,"EFH6426","2016-04-18",36,"TOYOT",0,0,0,"0206P","","WH",4,"WB E 135TH ST "," ALEXANDER AVE"," WB E 135TH ST @ ALEX New York, NY",40.7127837,-74.0059413
"52508",611231,7344648910,"62486JM","2015-07-01",38,"INTER",42630,8830,8880,"0225P","4507","BROWN",7,"Ft Hamilton Pky",NA,"4507 Ft Hamilton Pky New York, NY",40.6399814,-73.994887
"52509",4955932,7162314508,"GHV7982","2015-12-28",71,"TOYOT",44750,10575,10575,"0356P","2655","RD",12,"Richmond Ave",NA,"2655 Richmond Ave New York, NY",40.5823983,-74.1660553
"52510",2145096,8016938840,"BNYL39","2015-08-14",20,"CHRYS",7740,0,0,"0407P","E","RED",8,"29th St10ft N/of 40th Ave",NA,"E 29th St New York, NY",40.7425772,-73.9804096
"52511",1258288,7367289329,"DPE2670","2015-09-12",13,"HYUND",34730,10810,10910,"0031A","337","GR",9,"W 48th St",NA,"337 W 48th St New York, NY",40.76183,-73.98831
"52512",6146818,7036273896,"92707JU","2016-01-07",46,"FERRA",25390,19130,19150,"0135P","1615","BROWN",1,"Madison Ave",NA,"1615 Madison Ave New York, NY",40.7950348,-73.9478723
"52513",6025243,1399178910,"2XR744","2015-12-29",21,"",36470,11710,13610,"1120A","502","BLACK",12,"WEST 135TH ST",NA,"502 WEST 135TH ST New York, NY",40.818889,-73.9529419
"52514",149773,7152758359,"GGC2403","2015-07-12",14,"DODGE",0,40404,40404,"1026A","2319","WH",7,"Frederick Douglass B",NA,"2319 Frederick Douglass B New York, NY",40.8098099,-73.951739
"52515",10124785,1411562343,"301TSZ","2016-05-27",24,"FORD",31530,93530,54100,"0245A","1416","TAN",5,"DEKALB AVE",NA,"1416 DEKALB AVE New York, NY",40.699915,-73.923157
"52516",9147908,8283507448,"71478MH","2016-04-18",14,"HINO",10410,18150,14490,"0827A","767","WH",4,"5th Ave",NA,"767 5th Ave New York, NY",40.7635371,-73.9722478
"52517",9135811,8293009421,"FXV9934","2016-04-21",21,"NISSA",11180,18950,28230,"0859A","60","BK",4,"92nd St",NA,"60 92nd St New York, NY",40.784145,-73.9553959
"52518",7732782,4617600917,"FSX2162","2016-03-18",36,"TOYOT",0,0,0,"0150P","","GR",3,"NB OCEAN PKWY "," BEVERLEY RD"," NB OCEAN PKWY @ BEVE New York, NY",40.1039092,-74.1000128
"52519",471521,4608443800,"BEU3236","2015-06-24",36,"DODGE",0,0,0,"1004A","","GY",6,"WB GOETHALS RD N "," JULES DR"," WB GOETHALS RD N @ J New York, NY",40.7127837,-74.0059413
"52520",9865237,7966277951,"32473ME","2016-04-28",16,"FORD",32615,20425,29440,"0901A","46","WH",4,"Trinity Pl",NA,"46 Trinity Pl New York, NY",40.7076617,-74.0133907
"52521",1747737,4609131766,"GGK5107","2015-08-14",36,"HONDA",0,0,0,"0516P","","WH",8,"WB GOETHALS RD N "," JULES DR"," WB GOETHALS RD N @ J New York, NY",40.7127837,-74.0059413
"52522",5897883,7768721378,"J85CVX","2016-01-04",21,"DODGE",34820,0,0,"1149A","E","BLACK",1,"Garrison Ave5ft N/of Hunts Point",NA,"E Garrison Ave New York, NY",40.8174665,-73.8916694
"52523",6574536,7454773450,"MPI888","2016-02-23",53,"GMC",0,0,0,"1045P","W","WHITE",2,"84th St0ft S/of 91st Ave",NA,"W 84th St New York, NY",40.7863639,-73.9760009
"52524",3585651,8028227685,"63459JM","2015-10-20",82,"INTER",27790,17770,17790,"1245P","99","BROWN",10,"Park Ave",NA,"99 Park Ave New York, NY",40.7503381,-73.9784511
"52525",6393337,8182506074,"3ZP314","2016-01-26",46,"FORD",86630,74230,93830,"0637P","599","WHITE",1,"Utica Ave",NA,"599 Utica Ave New York, NY",40.6588321,-73.9308165
"52526",2437775,7498951952,"ICS103","2015-09-11",31,"LINCO",34590,10610,10810,"0512A","242","BLACK",9,"W 41st St",NA,"242 W 41st St New York, NY",40.7560681,-73.9901225
"52527",6689507,8035137815,"GVX7683","2016-02-21",19,"AUDI",70520,66520,50770,"0456A","1551","BK",2,"Unionport Rd",NA,"1551 Unionport Rd New York, NY",40.83549,-73.856908
"52528",8576337,8150001440,"GJZ3372","2016-03-29",70,"TOYOT",0,0,0,"1002A","W","GY",3,"Boerum St130ft S/of Humboldt",NA,"W Boerum St New York, NY",40.7060476,-73.9412862
