"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"60001",5278151,4613863612,"DJBETTA","2015-12-07",36,"GMC",0,0,0,"0236P","","BK",12,"WB LAFAYETTE AVE "," HUTCHINSON RIVER PKWY"," WB LAFAYETTE AVE @ H New York, NY",40.7127837,-74.0059413
"60002",6961671,7372318920,"77749AT","2016-02-08",14,"FORD",10110,18470,18490,"1248P","1422","WH",2,"2nd Ave",NA,"1422 2nd Ave New York, NY",40.7701569,-73.9570337
"60003",6072091,4614790458,"ETG1003","2016-01-05",36,"PONTI",0,0,0,"1114A","","GY",1,"WB LINDEN BLVD "," LINCOLN AVE"," WB LINDEN BLVD @ LIN New York, NY",40.7127837,-74.0059413
"60004",2441757,7508776719,"GMK8645","2015-09-02",21,"BMW",0,0,0,"1138A","W","GY",9,"Reservoir Ave50ft S/of W 197th St",NA,"W Reservoir Ave New York, NY",40.8790038,-73.8777006
"60005",2700647,8039263281,"58422JW","2015-09-26",37,"FORD",10110,17570,17590,"0321P","529","WHITE",9,"2nd Ave",NA,"529 2nd Ave New York, NY",40.7420133,-73.9782032
"60006",4117656,1401116358,"58422JW","2015-10-30",78,"FORD",0,0,0,"0235A","","WHITE",10,"W/S KELLY STN/O E 167TH ST",NA," W/S KELLY ST New York, NY",40.8196378,-73.8964891
"60007",5197600,1400593610,"84718MG","2015-12-16",46,"FORD",19310,24890,10210,"0356P","149","WHITE",12,"EAST 118 STREET",NA,"149 EAST 118 STREET New York, NY",40.799952,-73.9401325
"60008",1766246,5087751398,"GXG3045","2015-08-07",7,"PONTI",0,0,0,"1058P","","TN",8,"ATLANTIC AVE (E/B) ","LOGAN ST"," ATLANTIC AVE (E/B) @ New York, NY",40.675575,-73.9020668
"60009",5459990,7537529220,"B26FGG","2015-12-03",16,"HYUND",89730,0,0,"0214P","E","BLACK",12,"Washington Ave15ft N/of Myrtle Ave",NA,"E Washington Ave New York, NY",41.0607823,-74.0170657
"60010",7485643,8022972514,"GEA8425","2016-03-02",37,"NISSA",5580,17380,68730,"0355P","6921","RD",3,"5th Ave",NA,"6921 5th Ave New York, NY",40.7644781,-73.9729109
"60011",145937,7132234481,"GPN9557","2015-07-21",14,"DODGE",50990,10190,40390,"0407P","24-10","GY",7,"Jackson Ave",NA,"24-10 Jackson Ave New York, NY",40.7460116,-73.9446258
"60012",9431989,8038821828,"HFN8033","2016-05-05",38,"FORD",10010,17370,17390,"0954A","337","BLACK",5,"1st Ave",NA,"337 1st Ave New York, NY",40.7348698,-73.9803754
"60013",3221087,4610023490,"BA70036","2015-09-25",36,"FORD",0,0,0,"1235P","","",9,"NB GRAND CONCOURSE ","E 193RD ST"," NB GRAND CONCOURSE @ New York, NY",40.8459326,-73.9098498
"60014",8885388,7593250969,"Y89FXM","2016-03-31",14,"SUBAR",34150,10065,11110,"1107P","540","BLUE",3,"W 19th St",NA,"540 W 19th St New York, NY",40.7458254,-74.0073923
"60015",918678,8043706190,"FLP5411","2015-07-07",70,"TOYOT",8690,7040,7190,"0741A","23-04","WH",7,"36th Ave",NA,"23-04 36th Ave New York, NY",40.7589244,-73.9347905
"60016",8437639,7466788993,"GYR2113","2016-04-09",38,"DODGE",60080,59190,27590,"0914A","137-30","WH",4,"Redding St",NA,"137-30 Redding St New York, NY",40.6717202,-73.8442887
"60017",7540355,8048126850,"HDT2035","2016-03-10",20,"LEXUS",35690,8990,9140,"1239P","38-15","BK",3,"Bell Blvd",NA,"38-15 Bell Blvd New York, NY",40.7660959,-73.7719822
"60018",4621174,8024232789,"4YPC60","2015-11-08",40,"HONDA",16490,8790,61090,"1040A","37-46","GREY",11,"79th St",NA,"37-46 79th St New York, NY",40.748075,-73.8871319
"60019",4732143,8049144800,"8CG8326","2015-11-20",21,"INFIN",38430,23330,54070,"0823A","749","BLACK",11,"Eastern Pky",NA,"749 Eastern Pky New York, NY",40.669946,-73.943444
"60020",8238138,8275004720,"97214JE","2016-03-14",16,"GMC",33890,0,0,"1210P","N","BROWN",3,"W 3rd St35ft E/of Mac Dougal",NA,"N W 3rd St New York, NY",40.7293961,-73.9980108
"60021",5304444,4614498097,"BKU1353","2015-12-18",36,"TOYOT",0,0,0,"0155P","","RD",12,"EB ATLANTIC AVE "," ESSEX ST"," EB ATLANTIC AVE @ ES New York, NY",40.7127837,-74.0059413
"60022",3382550,7375679952,"EPC9870","2015-10-15",19,"ACURA",36670,15910,11710,"0158P","468","GY",10,"W 145th St",NA,"468 W 145th St New York, NY",40.824785,-73.94729
"60023",5769400,7036573508,"GYC7169","2016-01-21",50,"BMW",0,0,0,"0734A","S","BL",1,"90th Ave0ft W/of Parsons Blv",NA,"S 90th Ave New York, NY",40.7111754,-73.7798477
"60024",7366590,7121167141,"GXF7629","2016-03-12",21,"JEEP",61090,43890,18390,"0747A","90-24","BK",3,"Roosevelt Ave",NA,"90-24 Roosevelt Ave New York, NY",40.7483796,-73.8755388
"60025",2945062,7155087075,"GSX8464","2015-10-07",71,"ME/BE",19440,26490,26640,"0707A","213-27","WH",10,"102nd Ave",NA,"213-27 102nd Ave New York, NY",40.713243,-73.744163
"60026",6257549,7768531590,"CZ550C","2016-01-05",71,"HONDA",80430,75130,50830,"0925A","1588","BK",1,"St Marks Ave",NA,"1588 St Marks Ave New York, NY",40.672993,-73.914542
"60027",9472162,8146046782,"GNV2318","2016-05-25",71,"TOYOT",44930,77430,52530,"0958A","381","TN",5,"Graham Ave",NA,"381 Graham Ave New York, NY",40.7161372,-73.9448492
"60028",4364053,7418777140,"ZBZ49J","2015-11-20",37,"CHEVR",73220,48830,27530,"0416P","100","GREEN",11,"Remsen St",NA,"100 Remsen St New York, NY",40.693802,-73.994493
"60029",7918415,7498181198,"58078ME","2016-03-01",14,"HINO",24990,24985,13610,"0851A","69","WH",3,"Liberty St",NA,"69 Liberty St New York, NY",40.7090049,-74.0100851
"60030",6904955,7034564103,"23154JZ","2016-02-19",38,"FORD",8590,8940,9090,"1031A","37-11","WH",2,"35th Ave",NA,"37-11 35th Ave New York, NY",40.7558005,-73.9231103
"60031",6451787,4615798817,"KXI664","2016-01-27",36,"NISSA",0,0,0,"0140P","","",1,"WB LINDEN BLVD "," LINCOLN AVE"," WB LINDEN BLVD @ LIN New York, NY",40.7127837,-74.0059413
"60032",10050745,8322503659,"37180MG","2016-05-18",14,"GMC",27790,18110,18130,"0532P","450","WH",5,"Park Ave",NA,"450 Park Ave New York, NY",40.761507,-73.971308
"60033",6747674,8062501747,"GYU5518","2016-02-19",40,"MERCU",36150,0,0,"0159P","N","BK",2,"W 119th St20ft E/of Manhattan",NA,"N W 119th St New York, NY",40.806966,-73.955411
