"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"55001",6722793,8044741161,"GNX5379","2016-02-12",19,"NISSA",47990,0,0,"1136A","E","GY",2,"Greenpoint Ave40ft N/of 44th St",NA,"E Greenpoint Ave New York, NY",40.7345745,-73.9373833
"55002",4941829,7047011950,"MIDRE35","2015-12-14",20,"FORD",20190,0,0,"0211P","W","BL",12,"Elizabeth St30ft S/of Spring St",NA,"W Elizabeth St New York, NY",42.9485715,-76.4369147
"55003",3110595,8039628106,"PRZ2525","2015-10-06",69,"INTER",34670,10510,10610,"0731A","123","WHITE",10,"W 45th St",NA,"123 W 45th St New York, NY",40.7574076,-73.9837397
"55004",4171747,4612359495,"CSY6909","2015-11-04",36,"OLDSM",0,0,0,"1047A","","BR",11,"SB FLATBUSH AVE "," FLATLANDS AVE"," SB FLATBUSH AVE @ FL New York, NY",40.7127837,-74.0059413
"55005",2461776,7662684921,"M74AYA","2015-09-10",14,"FORD",21190,37070,37130,"0649P","177","WHITE",9,"Ft Washington Ave",NA,"177 Ft Washington Ave New York, NY",40.8415162,-73.9429931
"55006",7569013,8155015567,"GGD5557","2016-03-13",71,"SUBAR",54110,79530,67030,"1139A","70","WH",3,"Kosciusko St",NA,"70 Kosciusko St New York, NY",40.690257,-73.952419
"55007",633728,7446347661,"97720MD","2015-07-15",14,"PETER",10540,12140,47290,"0958P","5835","WHITE",7,"47th St",NA,"5835 47th St New York, NY",40.71807,-73.921575
"55008",2726421,8044210090,"FPB6327","2015-09-01",20,"TOYOT",9540,39595,54580,"1039A","132-45","WH",9,"41st Ave",NA,"132-45 41st Ave New York, NY",40.757169,-73.832333
"55009",3899532,7526604844,"GBT9082","2015-11-09",21,"TOYOT",54130,11830,27030,"1138A","185","SILVE",11,"Lafayette Ave",NA,"185 Lafayette Ave New York, NY",40.6878872,-73.9701069
"55010",1330970,7686387124,"57857MB","2015-09-03",38,"CHEVR",10610,34190,34210,"1124A","191","WHITE",9,"7th Ave",NA,"191 7th Ave New York, NY",40.7429175,-73.9961927
"55011",4194693,4612725177,"FDN6041","2015-11-13",36,"BMW",0,0,0,"0831A","","GY",11,"EB ASTORIA BV. 95 ST- 100 ST",NA," EB ASTORIA BV. 95 ST New York, NY",40.7127837,-74.0059413
"55012",6724288,8044345360,"GKX6373","2016-02-09",71,"SUBAR",9840,12190,12690,"0907A","58-06","BK",2,"43rd Ave",NA,"58-06 43rd Ave New York, NY",40.7429739,-73.906913
"55013",1347488,1375938265,"DVV1034","2015-08-08",74,"NISSA",28410,77150,10620,"0530A","757","BLK",8,"E 226 ST",NA,"757 E 226 ST New York, NY",40.8880496,-73.8579638
"55014",5027002,7506698810,"HBT4493","2015-11-28",40,"SUBAR",41930,81430,80330,"0834A","760","BL",11,"Franklin Ave",NA,"760 Franklin Ave New York, NY",40.6726468,-73.9574987
"55015",10359261,7704238693,"VCW5918","2016-06-17",20,"VOLKS",12330,40930,18630,"1119A","2177","BROWN",6,"Albemarle Rd",NA,"2177 Albemarle Rd New York, NY",40.6480551,-73.9571695
"55016",4902561,4614653595,"GKY2301","2015-12-23",36,"FORD",0,0,0,"0949A","","BK",12,"SB PENNSYLVANIA AVE"," SCHROEDERS AVE"," SB PENNSYLVANIA AVE New York, NY",40.6581327,-73.8902036
"55017",7126923,8037565002,"AJH7938","2016-02-18",38,"KIA",5280,10280,10330,"0417P","7406","GY",2,"3rd Ave",NA,"7406 3rd Ave New York, NY",40.7286292,-73.9906154
"55018",898928,8042002737,"FMS5611","2015-06-30",14,"HYUND",36150,31190,10810,"0845P","281","SILVE",6,"W 119th St",NA,"281 W 119th St New York, NY",40.8063134,-73.9536048
"55019",1508802,7264755009,"32750JZ","2015-08-25",46,"WORKH",27890,0,0,"1024A","E","BROWN",8,"Park Row65ft S/of Beekman St",NA,"E Park Row New York, NY",40.7123084,-74.0031316
"55020",9371493,7725593962,"N84GPR","2016-05-20",37,"TOYOT",23230,18930,12730,"0510P","898","GREY",5,"Broadway",NA,"898 Broadway New York, NY",40.7390157,-73.9897789
"55021",5648660,1403904765,"HBZ7588","2016-01-03",98,"CHRYS",10630,7230,17330,"0408A","2169","WHITE",1,"81 ST",NA,"2169 81 ST New York, NY",40.605207,-73.991127
"55022",5836231,7497123683,"GGL9969","2016-01-15",21,"FORD",37830,41030,14080,"0944A","1243","RD",1,"E 91st St",NA,"1243 E 91st St New York, NY",40.639272,-73.903335
"55023",4349003,7369751739,"43552PC","2015-11-14",84,"HINO",17890,0,0,"0740A","S","WH",11,"E 45th St45ft W/of Lexington",NA,"S E 45th St New York, NY",40.7533078,-73.9745049
"55024",9438054,8037183701,"HDV4731","2016-04-27",20,"NISSA",38330,0,0,"0102P","N","SILVE",4,"E New York Ave60ft W/of Avenue H",NA,"N E New York Ave New York, NY",40.6673384,-73.9222224
"55025",549367,7053040276,"74132JS","2015-07-17",69,"NS/OT",10610,34890,34910,"0713A","900","YELLO",7,"7th Ave",NA,"900 7th Ave New York, NY",40.765358,-73.9804753
