"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"20000",3486048,7792681002,"65919JE","2015-10-08",38,"GMC",9840,9890,10090,"0217P","43-01","WHITE",10,"43rd Ave",NA,"43-01 43rd Ave New York, NY",40.7453365,-73.9206656
"20001",6654267,7803154610,"VBK51H","2016-02-12",37,"NS/OT",20640,21690,13810,"0633P","104","SILVE",2,"Forsyth St",NA,"104 Forsyth St New York, NY",40.7183872,-73.9925564
"20002",902353,8042557449,"BRWF30","2015-07-10",14,"CADIL",10510,0,0,"1052A","W","BLACK",7,"6th Ave55ft N/of Broome St",NA,"W 6th Ave New York, NY",40.6030394,-73.9787402
"20003",6059009,1406135240,"ENV6484","2016-01-01",14,"HYUUN",14280,34930,34980,"1145A","321","BLK",1,"AVE N",NA,"321 AVE N New York, NY",40.6145793,-73.9712046
"20004",8459518,7498933056,"H35CAV","2016-04-04",21,"NISSA",27790,18470,18490,"0914A","812","BLACK",4,"Park Ave",NA,"812 Park Ave New York, NY",40.7730811,-73.9628597
"20005",4320751,7098484404,"32783MG","2015-11-17",40,"FORD",35510,13610,44990,"0818P","271","WH",11,"W 87th St",NA,"271 W 87th St New York, NY",40.7894102,-73.976747
"20006",2421322,7441874245,"GXC2669","2015-09-22",71,"DODGE",25870,51090,41700,"0621A","94-45","TAN",9,"199th St",NA,"94-45 199th St New York, NY",40.7122079,-73.7600889
"20007",409669,1374940604,"0001DDD","2015-06-24",17,"LEXUS",10410,10410,25390,"0810P","521","BLK",6,"5TH AVE",NA,"521 5TH AVE New York, NY",40.7541595,-73.9797971
"20008",6688623,8024749208,"GYK6914","2016-02-01",21,"NISSA",15640,9540,68290,"0842A","41-26","GR",2,"74th St",NA,"41-26 74th St New York, NY",40.74438,-73.891221
"20009",1734065,4004912090,"K019510","2015-08-17",5,"INTER",0,0,0,"0612P","","",8,"NB BEDFORD AVE "," ATLANTIC AVE"," NB BEDFORD AVE @ ATL New York, NY",40.7127837,-74.0059413
