"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"50001",10581146,8276014380,"30883JS","2016-06-21",21,"FORD",18790,0,0,"1126A","S","WH",6,"E 90th St25ft E/of 1st Ave",NA,"S E 90th St New York, NY",40.7810472,-73.9513046
"50002",6995426,7497336319,"FBL8921","2016-02-15",14,"CHEVR",38430,0,0,"0248P","W","WHITE",2,"Eastern Pky5ft N/of Bedford Ave",NA,"W Eastern Pky New York, NY",40.6691843,-73.9372946
"50003",3196378,1387423721,"FSY1662","2015-09-11",19,"CHRYS",13610,36510,36530,"1032A","3397","BLUE",9,"BROADWAY",NA,"3397 BROADWAY New York, NY",40.822031,-73.9540508
"50004",9928565,8068547411,"68458JT","2016-05-04",48,"CHEVR",31190,36350,36370,"1126A","400","WH",5,"St Nicholas Ave",NA,"400 St Nicholas Ave New York, NY",40.8131794,-73.9500198
"50005",4450594,7608044019,"ETJ7414","2015-10-23",24,"TOYOT",55220,50520,74330,"0734A","1288","TAN",10,"Ogden Ave",NA,"1288 Ogden Ave New York, NY",40.839962,-73.925023
"50006",5757837,7002283571,"GTX5093","2016-01-16",71,"GMC",22740,11640,36400,"1226P","56-41","BK",1,"141st St",NA,"56-41 141st St New York, NY",40.746635,-73.824006
"50007",946002,8020318288,"GKN1945","2015-08-27",40,"NISSA",18520,10820,54430,"0612A","317","BK",8,"Castle Hill Ave",NA,"317 Castle Hill Ave New York, NY",40.813782,-73.847174
"50008",402619,1259677898,"42871JM","2015-07-09",21,"MERCU",72730,26730,67047,"0000A","523","BROWN",7,"PROSPECT PL",NA,"523 PROSPECT PL New York, NY",40.6758959,-73.9588528
"50009",2218444,8038764493,"50089JX","2015-08-21",14,"INTER",34630,10510,13610,"1240P","125","RED",8,"W 43rd St",NA,"125 W 43rd St New York, NY",40.7561118,-73.9846095
"50010",9828530,7808300640,"FDV8262","2016-05-02",71,"MAZDA",36580,26630,55330,"0205P","116","BL",5,"E 39th St",NA,"116 E 39th St New York, NY",40.7498587,-73.9782469
"50011",1002056,8045366783,"GAR9869","2015-09-17",71,"BMW",13240,52390,23640,"0641A","154-14","GY",9,"64th Ave",NA,"154-14 64th Ave New York, NY",40.737634,-73.814168
"50012",10257409,7062618020,"AP892Y","2016-06-24",14,"FRUEH",34590,11110,11112,"0711A","601","GREEN",6,"W 41st St",NA,"601 W 41st St New York, NY",40.7604232,-73.998989
"50013",9893708,8029341143,"2028130","2016-04-28",69,"INTER",10610,34530,34550,"0231P","526","WHITE",4,"7th Ave",NA,"526 7th Ave New York, NY",40.7537767,-73.9888462
"50014",5568079,8048028700,"12391MC","2015-12-23",82,"CHEVR",37690,29190,30490,"1023A","516","WH",12,"W 207th St",NA,"516 W 207th St New York, NY",40.8650926,-73.9195811
"50015",7303163,4617557763,"GWT2101","2016-03-17",36,"DODGE",0,0,0,"1257P","","GY",3,"EB UNION TPK. HOLLISHILLS TERR - 214 ST",NA," EB UNION TPK. HOLLIS New York, NY",40.7298873,-73.7784484
"50016",8479493,7812135172,"GNS5907","2016-04-20",37,"TOYOT",37370,21190,28890,"0216P","812","RD",4,"W 181st St",NA,"812 W 181st St New York, NY",40.8508723,-73.939082
"50017",2046579,8042619996,"GHM2351","2015-07-31",20,"CHEVR",45470,30790,29290,"0543P","97","GREY",7,"Wooster St",NA,"97 Wooster St New York, NY",40.724512,-74.0010912
"50018",1040931,1368471500,"62176MC","2015-08-20",40,"FRUEH",0,0,0,"0119P","","WHT",8,"W/S FRONT ST 5FTS/O MAIDEN LN",NA," W/S FRONT ST 5FT New York, NY",40.7127837,-74.0059413
"50019",10172828,4620927211,"DHP7128","2016-06-03",36,"HONDA",0,0,0,"1223P","","BL",6,"NB MAIN ST "," REEVESAVE"," NB MAIN ST @ REEVES New York, NY",40.7127837,-74.0059413
"50020",7610198,1387518501,"XZ856G","2016-02-17",40,"FORD",79330,47130,13450,"0423P","157","GY",2,"SOUTH OXFORD STREET",NA,"157 SOUTH OXFORD STREET New York, NY",40.68463,-73.972806
"50021",4768480,1383968135,"GRJ3433","2015-11-21",90,"BMW",19290,63500,9440,"0805A","40-27","GRAY",11,"100 ST",NA,"40-27 100 ST New York, NY",40.748766,-73.8649178
"50022",6112627,4615716436,"CZB8974","2016-01-22",36,"MAZDA",0,0,0,"0239P","","GY",1,"WB QUEENS BLVD "," 36TH ST"," WB QUEENS BLVD @ 36T New York, NY",40.7416457,-73.9519675
"50023",2677376,8035062610,"ECG5208","2015-09-21",70,"SUBAR",60420,58320,71120,"0112P","1632","GY",9,"Radcliff Ave",NA,"1632 Radcliff Ave New York, NY",40.845517,-73.855019
"50024",8562781,8083516697,"GHG8172","2016-04-04",21,"HONDA",19170,10110,10010,"0939A","344","BLACK",4,"E 110th St",NA,"344 E 110th St New York, NY",40.792204,-73.938855
"50025",1330586,7662288286,"42232JZ","2015-09-17",14,"CHEVR",36410,13610,11112,"0713A","644","WHITE",9,"W 132nd St",NA,"644 W 132nd St New York, NY",40.8191197,-73.9587443
"50026",7539463,8076506669,"H52GCC","2016-03-01",21,"AUDI",18370,10410,25390,"1121A","2","BLUE",3,"E 69th St",NA,"2 E 69th St New York, NY",40.770358,-73.9680807
"50027",4514277,7775510869,"3TA669","2015-11-08",40,"ME/BE",27750,36420,70720,"0502A","235","BLACK",11,"E 204th St",NA,"235 E 204th St New York, NY",40.8745632,-73.884807
"50028",8947109,7880351050,"88297MG","2016-04-19",14,"CHEVR",17930,0,0,"0204P","N","OTHER",4,"E 47th St60ft E/of Park Ave",NA,"N E 47th St New York, NY",40.7544073,-73.9732043
"50029",7132804,8042931712,"95492MD","2016-02-12",14,"FRUEH",50990,0,0,"0526P","S","BROWN",2,"Jackson Ave10ft E/of 43rd Ave",NA,"S Jackson Ave New York, NY",40.7457136,-73.9458252
"50030",4293908,7064765573,"35383MC","2015-10-27",69,"FRUEH",17790,25390,27790,"0354P","30","YW",10,"E 40th St",NA,"30 E 40th St New York, NY",40.7512101,-73.9798061
"50031",7841387,7084237689,"45584MD","2016-03-24",38,"FORD",14630,35530,35580,"0101P","1607","WH",3,"Avenue U",NA,"1607 Avenue U New York, NY",40.5991847,-73.9551652
"50032",9668022,5091377554,"071940","2016-04-27",7,"HONDA",0,0,0,"1044A","","GY",4,"ATLANTIC AVE (W/B) ","BEDFORD AVE"," ATLANTIC AVE (W/B) @ New York, NY",40.6782332,-73.9469381
"50033",7780518,7030271208,"BFCU32","2016-03-08",46,"NISSA",37380,41730,40230,"1157A","741","GREY",3,"E 58th St",NA,"741 E 58th St New York, NY",40.7580424,-73.9601806
"50034",1850898,7405546936,"GZH3949","2015-08-24",21,"TOYOT",36320,74810,60820,"1139A","2621","GY",8,"Grand Ave",NA,"2621 Grand Ave New York, NY",40.867267,-73.900193
"50035",5267471,4613676216,"5N15H","2015-12-03",36,"TOYOT",0,0,0,"0949A","","YW",12,"NB 10TH AVE "," W 54THST"," NB 10TH AVE @ W 54TH New York, NY",40.7671971,-73.9899745
"50036",67263,4608630581,"GTT2727","2015-07-14",36,"KIA",0,0,0,"0915A","","GY",7,"EB BEACH CHANNEL DR"," BEACH 104TH ST"," EB BEACH CHANNEL DR New York, NY",40.5889257,-73.8164927
"50037",3380560,7322622893,"85987MD","2015-10-02",14,"FORD",37070,13610,21190,"0354P","600","BROWN",10,"W 165th St",NA,"600 W 165th St New York, NY",40.8392396,-73.9416125
"50038",3793973,5088944354,"GSA1710","2015-10-17",7,"INFIN",0,0,0,"0536A","","WH",10,"ROCKAWAY BLVD (W/B)"," GUY R BREWER BLVD"," ROCKAWAY BLVD (W/B) New York, NY",40.6742928,-73.8011786
"50039",8574216,8105503712,"HAP1083","2016-04-22",38,"CHEVR",17490,10210,10110,"0909A","200","BK",4,"E 25th St",NA,"200 E 25th St New York, NY",40.7400796,-73.9822036
"50040",3567331,8024924444,"ECU7708","2015-10-05",37,"FORD",9140,26490,35690,"1111A","213-05","WHITE",10,"39th Ave",NA,"213-05 39th Ave New York, NY",40.7652479,-73.7726071
"50041",3652960,8047569715,"30876JS","2015-10-09",21,"FORD",18770,10110,10010,"1204P","315","WHITE",10,"E 89th St",NA,"315 E 89th St New York, NY",40.779579,-73.949205
"50042",6547295,7114735390,"GLX3282","2016-02-22",70,"FORD",7540,23540,23740,"1125A","154-22","RD",2,"28th Ave",NA,"154-22 28th Ave New York, NY",40.772186,-73.809111
"50043",9544968,8300007570,"HGM3212","2016-05-20",50,"CHEVR",0,0,0,"0549A","W","WHITE",5,"E 58th St0ft N/of Farragut Rd",NA,"W E 58th St New York, NY",40.7608433,-73.9668972
"50044",7117281,8036717839,"68927MG","2016-02-09",37,"DODGE",35730,77030,39350,"0221P","2808","BL",2,"E 21st St",NA,"2808 E 21st St New York, NY",40.5840906,-73.9474708
"50045",6663422,7973988660,"GPF1126","2016-02-17",24,"DODGE",36070,10610,10810,"0915A","204","BL",2,"W 115th St",NA,"204 W 115th St New York, NY",40.8026348,-73.9535455
"50046",9230874,4619724051,"HFD2517","2016-05-12",36,"KIA",0,0,0,"1240P","","BK",5,"EB FLATLANDS AVE "," E58TH ST"," EB FLATLANDS AVE @ E New York, NY",40.656767,-73.8767869
