"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"57501",2913705,7011063006,"GPS9404","2015-10-06",37,"DODGE",13610,35610,35630,"0253P","2498","GY",10,"Broadway",NA,"2498 Broadway New York, NY",40.7924531,-73.9730028
"57502",7997294,7904559456,"XG504J","2016-03-09",46,"MITSU",10610,34090,34110,"0710A","113","WHITE",3,"7th Ave",NA,"113 7th Ave New York, NY",40.7402019,-73.998069
"57503",809429,8020732093,"9AF5802","2015-06-30",21,"JEEP",75730,0,0,"1016A","E","BLUE",6,"Scholes St15ft S/of Waterbury",NA,"E Scholes St New York, NY",40.7094535,-73.9363486
"57504",7141314,4005609302,"GRU6608","2016-03-10",5,"FORD",0,0,0,"0651P","","BK",3,"NB MAIN ST "," BOOTH MEMORIAL AVE"," NB MAIN ST @ BOOTH M New York, NY",40.7127837,-74.0059413
"57505",5247990,4613297760,"CZN2539","2015-11-23",36,"LEXUS",0,0,0,"0143P","","WH",11,"WB GOETHALS RD N "," JULES DR"," WB GOETHALS RD N @ J New York, NY",40.7127837,-74.0059413
"57506",5987057,8128509950,"GPJ4425","2016-01-13",21,"BMW",75120,68320,42320,"0943A","306","BL",1,"W 238th St",NA,"306 W 238th St New York, NY",40.8861204,-73.9028965
"57507",2430442,7494101329,"GEL1730","2015-08-27",21,"HONDA",24980,12550,23880,"0904A","121","WH",8,"Dreiser Loop",NA,"121 Dreiser Loop New York, NY",40.8763658,-73.8289234
"57508",6663697,8009078529,"GPD1384","2016-02-04",38,"NISSA",14230,0,0,"1037A","N","GY",2,"Avenue M45ft E/of Coney Isla",NA,"N Avenue M New York, NY",40.6199164,-73.9426687
"57509",3964182,7775507731,"G316379","2015-10-30",38,"HONDA",0,0,0,"1008A","E","GREY",10,"Jerome Ave60ft N/of E Gun Hill",NA,"E Jerome Ave New York, NY",40.8654314,-73.8989922
"57510",717838,7863153580,"16213TC","2015-07-01",46,"PETER",10910,34550,34570,"1208P","530","RD",7,"9th Ave",NA,"530 9th Ave New York, NY",40.756647,-73.993594
"57511",3613889,8032669670,"DAR2480","2015-10-12",71,"SAAB",26790,14010,22890,"0949A","94","GY",10,"Mott St",NA,"94 Mott St New York, NY",40.7171123,-73.9973756
"57512",2537940,8017178712,"GTF5301","2015-09-21",71,"DODGE",24040,47390,17040,"0141P","83-17","WH",9,"160th St",NA,"83-17 160th St New York, NY",40.715331,-73.805396
"57513",1734183,4608929276,"L758UB","2015-07-30",36,"LEXUS",0,0,0,"1137A","","GY",7,"NB BAY PKWY "," 63RD ST"," NB BAY PKWY @ 63RD S New York, NY",40.7127837,-74.0059413
"57514",591260,7183567151,"EMZ4840","2015-06-30",21,"HONDA",27120,21820,36420,"0926A","155","GY",6,"E 182nd St",NA,"155 E 182nd St New York, NY",40.8564338,-73.9013953
"57515",4313753,7073843469,"CMV9959","2015-10-27",37,"TOYOT",45590,18590,18610,"0311P","1520","GY",10,"York Ave",NA,"1520 York Ave New York, NY",40.7722447,-73.9494131
"57516",8566371,8119038472,"MCY589","2016-04-24",14,"ME/BE",17650,10210,10110,"0114P","207","BLACK",4,"E 33rd St",NA,"207 E 33rd St New York, NY",40.7449619,-73.977833
"57517",4270728,7035405392,"FPS5892","2015-11-05",21,"ACURA",40120,26670,40520,"0811A","1177","RED",11,"Hoe Ave",NA,"1177 Hoe Ave New York, NY",40.8283103,-73.8910847
"57518",1143129,7034905332,"FRS9581","2015-09-16",21,"TOYOT",0,40404,40404,"1139A","4401","RED",9,"Manhattan College Pk",NA,"4401 Manhattan College Pk New York, NY",40.8912927,-73.907416
"57519",8226677,8222510393,"YXG54F","2016-03-05",21,"TOYOT",54580,45990,36220,"0845A","42-57","GREY",3,"Main St",NA,"42-57 Main St New York, NY",40.7538476,-73.8272821
"57520",7378783,7285161020,"HDY7428","2016-03-24",37,"JEEP",13610,35570,35590,"0844P","2450","GY",3,"Broadway",NA,"2450 Broadway New York, NY",40.7910963,-73.9739914
"57521",117677,7009862606,"GRU9168","2015-07-05",71,"ACURA",18930,25390,27790,"0321P","40","GREY",7,"E 98th St",NA,"40 E 98th St New York, NY",40.7883527,-73.9529943
"57522",6005124,8163006742,"GUM6396","2016-01-19",71,"CHEVR",39350,20930,21230,"0933P","3213","BK",1,"Emmons Ave",NA,"3213 Emmons Ave New York, NY",40.5842915,-73.9322238
"57523",2582243,7985472745,"22151TC","2015-09-10",10,"FRUEH",10910,34570,97880,"1127A","547","RD",9,"9th Ave",NA,"547 9th Ave New York, NY",40.7574883,-73.9936832
"57524",6133800,5090122398,"BKS5794","2016-01-09",7,"TOYOT",0,0,0,"0827P","","BK",1,"NORTHERN BLVD (W/B)"," DOUGLASTON PKWY"," NORTHERN BLVD (W/B) New York, NY",40.762733,-73.835589
"57525",538562,7031813335,"87654JY","2015-07-09",38,"CHEVR",26760,42820,69320,"0235P","21","BLUE",7,"E 170th St",NA,"21 E 170th St New York, NY",40.8401362,-73.9168424
"57526",5449651,7637056648,"DYZ6795","2015-12-17",71,"CHEVR",10510,32660,14910,"0835A","188","BK",12,"6th Ave",NA,"188 6th Ave New York, NY",40.7262412,-74.0034544
"57527",6426470,1405337424,"GVF8271","2016-02-18",21,"TOYOT",81530,18630,73690,"0850A","175","BLACK",2,"STERLING ST",NA,"175 STERLING ST New York, NY",40.663079,-73.95526
"57528",6429566,1405958145,"GGD3858","2016-01-17",40,"BMW",80430,73430,23530,"0605A","1259","GRAY",1,"ST MARKS AVE",NA,"1259 ST MARKS AVE New York, NY",40.674227,-73.9272359
"57529",838858,8029482978,"57695JU","2015-06-30",69,"CHEVR",34730,10810,10910,"1233P","359","WH",6,"W 48th St",NA,"359 W 48th St New York, NY",40.762133,-73.989016
"57530",7509906,8027781267,"GDE5011","2016-03-11",31,"LINCO",13610,29290,19890,"0422P","575","GY",3,"Broadway",NA,"575 Broadway New York, NY",40.7244963,-73.997802
"57531",1590247,7684254091,"ERC9998","2015-08-01",71,"CADIL",9090,8440,8590,"1122A","34-04","BK",8,"38th St",NA,"34-04 38th St New York, NY",40.757019,-73.922008
"57532",1500178,7183576942,"FTH9996","2015-08-26",40,"ROVER",22320,32120,29620,"1011A","1936","WHITE",8,"Crotona Ave",NA,"1936 Crotona Ave New York, NY",40.8450611,-73.8912556
"57533",508252,5086915673,"32870MD","2015-06-23",7,"FORD",0,0,0,"0511P","","WH",6,"FLATBUSH AVE (N/B) ","EASTERN PKWY"," FLATBUSH AVE (N/B) @ New York, NY",40.6185782,-73.9324701
"57534",3584818,8030603228,"CKT6047","2015-10-10",70,"CADIL",19450,10410,25390,"0251P","14","BK",10,"E 125th St",NA,"14 E 125th St New York, NY",40.8058665,-73.9416197
"57535",7807267,7061522677,"62247MC","2016-03-24",69,"INTER",34930,21680,10510,"0531P","1","GR",3,"W 58th St",NA,"1 W 58th St New York, NY",40.7642202,-73.9742747
"57536",4439479,7499411618,"76131JY","2015-10-27",38,"FRUEH",25390,18530,18550,"0438P","1002","WH",10,"Madison Ave",NA,"1002 Madison Ave New York, NY",40.7755124,-73.9630286
"57537",6866687,4616143031,"FSL4125","2016-02-09",36,"NISSA",0,0,0,"0313P","","BK",2,"SB FRANCIS LEWIS BLVD "," STATION RD"," SB FRANCIS LEWIS BLV New York, NY",40.7127837,-74.0059413
"57538",1049529,1380691473,"4J37J","2015-08-27",14,"FORD",34390,10610,10810,"0408P","224","YELLO",8,"WEST 31",NA,"224 WEST 31 New York, NY",40.7524392,-73.9999268
"57539",5310419,4614627481,"17614TT","2015-12-22",36,"DODGE",0,0,0,"0102P","","WHGR",12,"EB CASTLETN AV. HARTBV- HAVNWD RD",NA," EB CASTLETN AV. HART New York, NY",40.626116,-74.1058135
"57540",6400784,1388514072,"GFR2499","2016-01-16",14,"JEEP",34870,10810,10910,"0405P","360","WHITE",1,"W 55 STREET",NA,"360 W 55 STREET New York, NY",40.7663541,-73.9862901
"57541",10412523,8022347632,"CMP8058","2016-06-01",21,"INFIN",38930,40404,40404,"1136A","131","BR",6,"Elm Ave",NA,"131 Elm Ave New York, NY",40.912704,-73.8289268
"57542",4446410,7508789015,"61411ME","2015-10-23",14,"ISUZU",27600,0,0,"0850A","N","WH",10,"E 198th St5ft E/of Creston Ave",NA,"N E 198th St New York, NY",40.8690698,-73.889117
"57543",2454946,7637448873,"GUR4806","2015-09-03",37,"ME/BE",36670,15910,11710,"1059A","466","BK",9,"W 145th St",NA,"466 W 145th St New York, NY",40.824761,-73.947236
"57544",7407186,7494184041,"T662093C","2016-03-14",21,"TOYOT",7040,8990,9140,"1051A","38-21","BK",3,"23rd St",NA,"38-21 23rd St New York, NY",40.7557072,-73.9378527
"57545",196220,7544369559,"GWG4796","2015-06-29",21,"HONDA",50530,54830,58730,"1111A","203","GY",6,"Hooper St",NA,"203 Hooper St New York, NY",40.7051968,-73.9570917
