"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"22501",7732504,4617597992,"FSW3954","2016-03-18",36,"BMW",0,0,0,"0124P","","GY",3,"WB UNION TRPK "," 213TH ST"," WB UNION TRPK @ 213T New York, NY",40.7127837,-74.0059413
"22502",3460464,7664555553,"13755MH","2015-10-20",14,"FORD",15710,35110,35130,"0949A","160","WH",10,"Columbus Ave",NA,"160 Columbus Ave New York, NY",40.7747183,-73.9813903
"22503",401672,1354184350,"A72COF","2015-06-29",21,"ACURA",93230,58730,85730,"0816A","572","BK",6,"WILLOUGHBY AVE",NA,"572 WILLOUGHBY AVE New York, NY",40.6940758,-73.946476
"22504",2528997,8021758193,"GJF1304","2015-09-17",37,"HONDA",36270,31190,26490,"0217P","375","GY",9,"W 125th St",NA,"375 W 125th St New York, NY",40.8113958,-73.9534343
"22505",8144619,8073011712,"35213MB","2016-03-10",18,"FRUEH",10110,19190,19210,"0314P","2161","BROWN",3,"2nd Ave",NA,"2161 2nd Ave New York, NY",40.794029,-73.940304
"22506",7469291,7773153139,"HCP34972","2016-03-06",50,"",0,0,0,"0810A","W","",3,"College Ave0ft N/of E 169th St",NA,"W College Ave New York, NY",40.6210559,-74.1323532
"22507",5666580,1406888151,"K","2016-01-15",20,"FORD",8380,57430,68010,"0143P","1317","WH",1,"36 ST",NA,"1317 36 ST New York, NY",40.642038,-73.983752
"22508",7942024,7588090819,"T661572C","2016-02-27",16,"TOYOT",34770,10810,10910,"0733A","311","GREY",2,"W 50th St",NA,"311 W 50th St New York, NY",40.762887,-73.986922
"22509",1955788,8016492988,"GJC4986","2015-08-25",40,"PONTI",19270,10210,10110,"0744A","201","WH",8,"E 116th St",NA,"201 E 116th St New York, NY",40.7979965,-73.9396806
"22510",8170791,8151000831,"EXM1467","2016-03-01",20,"CHEVR",92670,29230,87630,"0100P","9","GY",3,"White St",NA,"9 White St New York, NY",40.7190557,-74.0057474
